Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
C3,identity,Poisson,0.2653383731842041,0.09424441839375855,5,0.0015484748576681754,0.0020208884326676714,5
C3,identity,NB,0.5010805606842041,0.08338516583535192,5,0.00364058348874174,0.004117206874706514,5
C3,identity,ZIP,0.5522488594055176,0.18664492188836226,5,0.0003313827468658207,0.0002539084749665252,5
C3,identity,ZINB,1.0956451892852783,0.3077885069347745,5,0.00262495757338484,0.0030146591423412927,5
C3,identity,P+NB,1.2915242671966554,0.22141723515692596,5,263.3162516792996,425.6888404004089,5
C3,identity,Z+P+NB,2.009194850921631,0.21733398433066223,5,0.02437877977434928,0.01992048076151714,5
C3,identity,ZIP--ZINB,3.803721857070923,0.6182431440615069,5,93.56885501531235,199.58029910243204,5
C2,identity,Poisson,0.2339865684509277,0.054707130046283615,5,0.00333071511616932,0.0043209655409701415,5
C2,identity,NB,0.4727606773376465,0.13853490576372104,5,0.0009098549867455801,0.00046726823187045135,5
C2,identity,ZIP,0.7857715129852295,0.2648578608685017,5,0.0013264502581165,0.0009834595783202213,5
C2,identity,ZINB,1.6608972549438477,0.36857348006700075,5,0.01695906086117944,0.008617977660608843,5
C2,identity,P+NB,1.739725923538208,0.5006887412312466,5,316.6566752428572,558.1394795498661,5
C2,identity,Z+P+NB,2.9994180679321287,0.7651440329041006,5,0.01704483194374721,0.018530195601943078,5
C2,identity,ZIP--ZINB,3.2169565677642824,0.8269667577035433,5,0.15049322121781175,0.10710021437936529,5
C2,log,Poisson,0.10141024589538568,0.011354037086904396,5,0.0017214979289519356,0.0014535753747674611,5
C2,log,NB,0.24444665908813476,0.02962381617800728,5,0.00048120046349846,0.00022213188812784409,5
C2,log,ZIP,0.2764125823974609,0.08976444287758986,5,0.00079255953621094,0.00044137864425255726,5
C2,log,ZINB,1.1686347007751465,0.08390928662834818,5,0.0042228644724104595,0.0029890347970075106,5
C2,log,P+NB,1.8861427307128906,0.28957783029605527,5,0.24377209814307435,0.47663789142613977,5
C2,log,Z+P+NB,3.6375200271606447,0.2649849742761875,5,0.02034912255323974,0.01478390133397246,5
C2,log,ZIP--ZINB,4.8361626148223875,2.2172946209170865,5,0.1395316352035844,0.09778870724679126,5
H2AX1H60,identity,Poisson,0.028354263305664023,0.0014302799176520438,5,1.889542726747351e-05,1.0761785637209911e-05,5
H2AX1H60,identity,NB,0.057185363769531226,0.002323825648610899,5,2.5590681107190427e-05,2.3301304370604003e-05,5
H2AX1H60,identity,ZIP,0.0726260185241699,0.0008750293586377423,5,3.974580538108618e-05,2.3909161268248363e-05,5
H2AX1H60,identity,ZINB,0.13360247611999507,0.004267898368801416,5,5.172662422056717e-05,4.206655047421079e-05,5
H2AX1H60,identity,P+NB,0.30693702697753905,0.036947660115255486,5,5.81081865187423,8.221005992931554,5
H2AX1H60,identity,Z+P+NB,0.6207112789154052,0.044018409311034415,5,0.0010662537689052993,0.000686625871155705,5
H2AX1H60,identity,ZIP--ZINB,0.7729389667510986,0.08448222799488873,5,0.01383394537496166,0.008567277226790451,5
H2AX1H60,log,Poisson,0.03263831138610834,0.0017142257786550569,5,4.680228644726725e-05,2.6144587685543038e-05,5
H2AX1H60,log,NB,0.06657848358154292,0.0030250615864205097,5,9.241264891046948e-05,7.0465563760499e-05,5
H2AX1H60,log,ZIP,0.0771684169769287,0.0013994399103089356,5,0.00014815685961105214,0.00011015103349578732,5
H2AX1H60,log,ZINB,0.17856459617614745,0.033339225121583174,5,7.451738277934792e-05,3.5397778966344695e-05,5
H2AX1H60,log,P+NB,0.2704427242279053,0.008087775029687033,5,0.00022983695462747811,0.00021069134524259194,5
H2AX1H60,log,Z+P+NB,0.5827931880950927,0.03871486131267404,5,0.00178503001092826,0.002204937435313775,5
H2AX1H60,log,ZIP--ZINB,0.9980592727661133,0.13266407501322516,5,0.037773983890391084,0.05155834271681673,5
H2AX4H100,identity,Poisson,0.02707481384277336,0.0007234269732485686,5,2.7318818386627334e-05,4.405588274241969e-05,5
H2AX4H100,identity,NB,0.05981068611145015,0.00254650438030788,5,1.6321173138855725e-05,1.0505286688532467e-05,5
H2AX4H100,identity,ZIP,0.06536388397216793,0.0008549736121757284,5,7.133461274379965e-05,4.582338428969355e-05,5
H2AX4H100,identity,ZINB,0.21074995994567866,0.0067635024880023835,5,0.002819450180826873,0.005112437523091626,5
H2AX4H100,identity,P+NB,0.31778268814086913,0.03415542706663521,5,41.57735591355523,11.153348070870848,5
H2AX4H100,identity,Z+P+NB,0.39101810455322267,0.017627405818966487,5,0.0006117625375410387,0.001114936409212373,5
H2AX4H100,identity,ZIP--ZINB,0.5577280998229981,0.14559565865983554,5,0.010992997935110101,0.01040459847681014,5
H2AX4H100,log,Poisson,0.028983497619628863,0.0008890223864721203,5,0.00010232478519101296,9.542291665126942e-05,5
H2AX4H100,log,NB,0.06844649314880367,0.006441283331514379,5,0.00019628315981875378,0.0003070839549358152,5
H2AX4H100,log,ZIP,0.067003059387207,0.0017400293563061588,5,0.0001409403744217249,0.00011264532008122809,5
H2AX4H100,log,ZINB,0.21034274101257325,0.009186328571971845,5,0.0010244054102118978,0.0015544516700644992,5
H2AX4H100,log,P+NB,0.4144429206848145,0.05455692107741727,5,0.0013537815673369924,0.0025977862213703924,5
H2AX4H100,log,Z+P+NB,0.39698042869567873,0.030532556361086715,5,0.0030490507242059628,0.004301674290415609,5
H2AX4H100,log,ZIP--ZINB,0.49191718101501464,0.10868925332437508,5,0.03915298494481436,0.05305924013259607,5
C3,log,Poisson,0.0769888877868652,0.01518397075782609,5,0.0019571856431695603,0.0016831329729207535,5
C3,log,NB,0.22332205772399902,0.04127883647721972,5,0.0003799616209643611,0.00039105257416288436,5
C3,log,ZIP,0.2473237037658691,0.026286978363266756,5,0.00150660586697094,0.0017003138275552422,5
C3,log,ZINB,0.6755127906799316,0.1144859383121397,5,0.0030012443062815597,0.0027974447329487716,5
C3,log,P+NB,1.4587904930114746,0.23019238329707578,5,0.001049189860492,0.0011135602929958528,5
C3,log,Z+P+NB,2.5165923118591307,0.3175365702524901,5,0.08935580227997089,0.072993961054682,5
C3,log,ZIP--ZINB,4.266568279266357,0.7841528131818937,5,0.16998310184361676,0.18129324725275447,5
