Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D3,Dataset 3,74,Z+P+NB,ZIP--ZINB,-29310.01670254918,-29294.797070704277,30.439263689804648,2,0,2.455827584466043e-07,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,77,Poisson,ZIP--ZINB,-75223.37599020221,-28905.45906937648,92635.83384165147,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,77,NB,ZIP--ZINB,-32949.42468631466,-28905.45906937648,8087.931233876363,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,77,P+NB,ZIP--ZINB,-32205.505355184498,-28905.45906937648,6600.092571616035,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,77,ZIP,ZIP--ZINB,-43116.34907813344,-28905.45906937648,28421.78001751392,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,77,ZINB,ZIP--ZINB,-29469.725032639515,-28905.45906937648,1128.5319265260696,nan,1,1.0391422126303584e-247,True,chi-bar² heuristic; k=1
D3,Dataset 3,77,Z+P+NB,ZIP--ZINB,-28912.256026891446,-28905.45906937648,13.59391502993094,2,0,0.0011171689522455459,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,75,Poisson,ZIP--ZINB,-73881.04658028987,-29181.838428236588,89398.41630410656,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,75,NB,ZIP--ZINB,-33319.804714750615,-29181.838428236588,8275.932573028054,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,75,P+NB,ZIP--ZINB,-32619.04087828265,-29181.838428236588,6874.404900092122,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,75,ZIP,ZIP--ZINB,-42568.041321253,-29181.838428236588,26772.405786032818,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,75,ZINB,ZIP--ZINB,-29710.685951378677,-29181.838428236588,1057.6950462841778,nan,1,2.5867777886955314e-232,True,chi-bar² heuristic; k=1
D3,Dataset 3,75,Z+P+NB,ZIP--ZINB,-29215.08224142621,-29181.838428236588,66.48762637924665,2,0,3.650861639264973e-15,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,76,Poisson,ZIP--ZINB,-74073.10489531478,-29306.713367737335,89532.7830551549,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,76,NB,ZIP--ZINB,-33361.11030686302,-29306.713367737335,8108.793878251367,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,76,P+NB,ZIP--ZINB,-32646.34388991235,-29306.713367737335,6679.261044350031,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,76,ZIP,ZIP--ZINB,-42943.34833623264,-29306.713367737335,27273.269936990604,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,76,ZINB,ZIP--ZINB,-29868.6285619343,-29306.713367737335,1123.8303883939298,nan,1,1.0927126164309397e-246,True,chi-bar² heuristic; k=1
D3,Dataset 3,76,Z+P+NB,ZIP--ZINB,-29323.79779077506,-29306.713367737335,34.168846075452166,2,0,3.804778231705527e-08,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,78,Poisson,ZIP--ZINB,-72155.61636851678,-29196.876489587616,85917.47975785834,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,78,NB,ZIP--ZINB,-33284.83759743091,-29196.876489587616,8175.922215686587,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,78,P+NB,ZIP--ZINB,-32572.542098774415,-29196.876489587616,6751.331218373598,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,78,ZIP,ZIP--ZINB,-41766.87006706793,-29196.876489587616,25139.987154960632,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,78,ZINB,ZIP--ZINB,-29720.108538277167,-29196.876489587616,1046.464097379103,nan,1,7.142370486542638e-230,True,chi-bar² heuristic; k=1
D3,Dataset 3,78,Z+P+NB,ZIP--ZINB,-29209.557645201894,-29196.876489587616,25.36231122855679,2,0,3.109167307903789e-06,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,79,Poisson,ZIP--ZINB,-74101.2311363826,-29256.529086878825,89689.40409900754,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,79,NB,ZIP--ZINB,-33276.61845502035,-29256.529086878825,8040.178736283044,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,79,P+NB,ZIP--ZINB,-32573.51054842771,-29256.529086878825,6633.962923097766,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,79,ZIP,ZIP--ZINB,-42464.94092870862,-29256.529086878825,26416.823683659582,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,79,ZINB,ZIP--ZINB,-29781.52183653737,-29256.529086878825,1049.9854993170884,nan,1,1.225890162523721e-230,True,chi-bar² heuristic; k=1
D3,Dataset 3,79,Z+P+NB,ZIP--ZINB,-29274.439464692943,-29256.529086878825,35.82075562823593,2,0,1.6657957377484755e-08,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,83,Poisson,ZIP--ZINB,-76843.52489360257,-29514.357492956966,94658.33480129122,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,83,NB,ZIP--ZINB,-33826.38802557122,-29514.357492956966,8624.06106522851,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,83,P+NB,ZIP--ZINB,-32998.40033703622,-29514.357492956966,6968.085688158506,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,83,ZIP,ZIP--ZINB,-44407.02570349114,-29514.357492956966,29785.33642106835,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,83,ZINB,ZIP--ZINB,-30131.10316057397,-29514.357492956966,1233.4913352340081,nan,1,1.6060181745370867e-270,True,chi-bar² heuristic; k=1
D3,Dataset 3,83,Z+P+NB,ZIP--ZINB,-29541.32711860787,-29514.357492956966,53.939251301810145,2,0,1.937494154141405e-12,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,80,Poisson,ZIP--ZINB,-73776.67438361539,-29291.076758312836,88971.19525060512,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,80,NB,ZIP--ZINB,-33402.766227492015,-29291.076758312836,8223.378938358357,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,80,P+NB,ZIP--ZINB,-32658.356641288818,-29291.076758312836,6734.559765951963,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,80,ZIP,ZIP--ZINB,-43063.15101337102,-29291.076758312836,27544.148510116363,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,80,ZINB,ZIP--ZINB,-29868.38046596339,-29291.076758312836,1154.6074153011068,nan,1,2.2361603896221208e-253,True,chi-bar² heuristic; k=1
D3,Dataset 3,80,Z+P+NB,ZIP--ZINB,-29313.02877814259,-29291.076758312836,43.90403965950827,2,0,2.9265700332623787e-10,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,81,Poisson,ZIP--ZINB,-72129.94492138302,-29160.259137610556,85939.37156754493,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,81,NB,ZIP--ZINB,-33081.577368846934,-29160.259137610556,7842.636462472758,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,81,P+NB,ZIP--ZINB,-32437.3406252427,-29160.259137610556,6554.162975264291,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,81,ZIP,ZIP--ZINB,-42212.439087476574,-29160.259137610556,26104.359899732037,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,81,ZINB,ZIP--ZINB,-29674.29127499497,-29160.259137610556,1028.0642747688253,nan,1,7.131119731811962e-226,True,chi-bar² heuristic; k=1
D3,Dataset 3,81,Z+P+NB,ZIP--ZINB,-29181.407480997324,-29160.259137610556,42.29668677353766,2,0,6.537190873649347e-10,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,82,Poisson,ZIP--ZINB,-74165.57471965533,-29401.980964894337,89527.18750952199,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,82,NB,ZIP--ZINB,-33417.42258936706,-29401.980964894337,8030.8832489454435,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,82,P+NB,ZIP--ZINB,-32727.469863416514,-29401.980964894337,6650.977797044354,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,82,ZIP,ZIP--ZINB,-43272.813339137574,-29401.980964894337,27741.664748486473,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,82,ZINB,ZIP--ZINB,-29974.77917683372,-29401.980964894337,1145.5964238787637,nan,1,2.031951214142626e-251,True,chi-bar² heuristic; k=1
D3,Dataset 3,82,Z+P+NB,ZIP--ZINB,-29427.185221189808,-29401.980964894337,50.40851259094052,2,0,1.1322193436254165e-11,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,84,Poisson,ZIP--ZINB,-71921.1402738268,-28863.927668521137,86114.42521061131,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,84,NB,ZIP--ZINB,-33065.06176628555,-28863.927668521137,8402.268195528828,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,84,P+NB,ZIP--ZINB,-32345.58192433192,-28863.927668521137,6963.308511621566,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,84,ZIP,ZIP--ZINB,-41620.58806094196,-28863.927668521137,25513.32078484165,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,84,ZINB,ZIP--ZINB,-29394.382763172543,-28863.927668521137,1060.9101893028128,nan,1,5.175375325321639e-233,True,chi-bar² heuristic; k=1
D3,Dataset 3,84,Z+P+NB,ZIP--ZINB,-28877.958843798286,-28863.927668521137,28.062350554297154,2,0,8.060054947554414e-07,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,86,Poisson,ZIP--ZINB,-73651.87483205964,-29446.656959371365,88410.43574537654,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,86,NB,ZIP--ZINB,-33710.62296342664,-29446.656959371365,8527.932008110554,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,86,P+NB,ZIP--ZINB,-32932.60628977468,-29446.656959371365,6971.898660806633,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,86,ZIP,ZIP--ZINB,-42740.34042674184,-29446.656959371365,26587.366934740945,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,86,ZINB,ZIP--ZINB,-30031.204757225692,-29446.656959371365,1169.0955957086553,nan,1,1.5875643897886457e-256,True,chi-bar² heuristic; k=1
D3,Dataset 3,86,Z+P+NB,ZIP--ZINB,-29466.555438637304,-29446.656959371365,39.79695853187877,2,0,2.281393797783813e-09,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,89,Poisson,ZIP--ZINB,-73504.48694131535,-29257.425705962734,88494.12247070523,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,89,NB,ZIP--ZINB,-33592.29685893701,-29257.425705962734,8669.742305948545,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,89,P+NB,ZIP--ZINB,-32806.494146158264,-29257.425705962734,7098.136880391059,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,89,ZIP,ZIP--ZINB,-42994.92472774343,-29257.425705962734,27474.998043561398,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,89,ZINB,ZIP--ZINB,-29852.401107243597,-29257.425705962734,1189.9508025617251,nan,1,4.6585173084188485e-261,True,chi-bar² heuristic; k=1
D3,Dataset 3,89,Z+P+NB,ZIP--ZINB,-29284.706072355606,-29257.425705962734,54.56073278574331,2,0,1.4199969490533617e-12,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,87,Poisson,ZIP--ZINB,-72659.94123736168,-28918.928529559213,87482.02541560493,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,87,NB,ZIP--ZINB,-33113.417376817,-28918.928529559213,8388.977694515575,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,87,P+NB,ZIP--ZINB,-32364.73171935131,-28918.928529559213,6891.606379584198,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,87,ZIP,ZIP--ZINB,-42117.17818282754,-28918.928529559213,26396.499306536658,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,87,ZINB,ZIP--ZINB,-29479.496868074733,-28918.928529559213,1121.1366770310415,nan,1,4.2068606732805866e-246,True,chi-bar² heuristic; k=1
D3,Dataset 3,87,Z+P+NB,ZIP--ZINB,-28933.39284850892,-28918.928529559213,28.928637899414753,2,0,5.22668221600636e-07,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,88,Poisson,ZIP--ZINB,-72640.44428595307,-29265.891043728923,86749.10648444829,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,88,NB,ZIP--ZINB,-33384.9709936031,-29265.891043728923,8238.159899748352,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,88,P+NB,ZIP--ZINB,-32623.904340341716,-29265.891043728923,6716.026593225586,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,88,ZIP,ZIP--ZINB,-42389.18904469242,-29265.891043728923,26246.596001927,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,88,ZINB,ZIP--ZINB,-29853.572467284193,-29265.891043728923,1175.3628471105403,nan,1,6.896932948171962e-258,True,chi-bar² heuristic; k=1
D3,Dataset 3,88,Z+P+NB,ZIP--ZINB,-29284.68712880426,-29265.891043728923,37.592170150674065,2,0,6.8701144233799595e-09,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,85,Poisson,ZIP--ZINB,-73040.92269417751,-29102.43634504192,87876.97269827119,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,85,NB,ZIP--ZINB,-32939.41324465495,-29102.43634504192,7673.953799226059,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,85,P+NB,ZIP--ZINB,-32298.44288133717,-29102.43634504192,6392.013072590504,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,85,ZIP,ZIP--ZINB,-42729.62819147376,-29102.43634504192,27254.38369286369,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,85,ZINB,ZIP--ZINB,-29624.93054717577,-29102.43634504192,1044.9884042677004,nan,1,1.4948269159165637e-229,True,chi-bar² heuristic; k=1
D3,Dataset 3,85,Z+P+NB,ZIP--ZINB,-29123.250495254477,-29102.43634504192,41.62830042511632,2,0,9.131232841168517e-10,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,92,Poisson,ZIP--ZINB,-72384.43677446383,-28942.065490376404,86884.74256817484,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,92,NB,ZIP--ZINB,-33080.69236281232,-28942.065490376404,8277.253744871829,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,92,P+NB,ZIP--ZINB,-32375.968814099433,-28942.065490376404,6867.8066474460575,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,92,ZIP,ZIP--ZINB,-41822.80606867054,-28942.065490376404,25761.481156588277,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,92,ZINB,ZIP--ZINB,-29455.582265718847,-28942.065490376404,1027.033550684886,nan,1,1.1945216230416365e-225,True,chi-bar² heuristic; k=1
D3,Dataset 3,92,Z+P+NB,ZIP--ZINB,-28965.798372749254,-28942.065490376404,47.465764745698834,2,0,4.9310583974051044e-11,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,97,Poisson,ZIP--ZINB,-73654.7363839745,-29120.695413447927,89068.08194105313,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,97,NB,ZIP--ZINB,-33146.63273868637,-29120.695413447927,8051.874650476886,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,97,P+NB,ZIP--ZINB,-32386.197922584564,-29120.695413447927,6531.005018273274,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,97,ZIP,ZIP--ZINB,-42869.37859947629,-29120.695413447927,27497.36637205672,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,97,ZINB,ZIP--ZINB,-29726.447912624448,-29120.695413447927,1211.5049983530407,nan,1,9.636557802860265e-266,True,chi-bar² heuristic; k=1
D3,Dataset 3,97,Z+P+NB,ZIP--ZINB,-29145.44071041538,-29120.695413447927,49.49059393490461,2,0,1.7916537132082028e-11,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,91,Poisson,ZIP--ZINB,-72066.393737792,-28997.983686943666,86136.82010169665,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,91,NB,ZIP--ZINB,-33110.55632662514,-28997.983686943666,8225.14527936295,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,91,P+NB,ZIP--ZINB,-32451.34967868933,-28997.983686943666,6906.731983491329,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,91,ZIP,ZIP--ZINB,-41655.29333482988,-28997.983686943666,25314.619295772434,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,91,ZINB,ZIP--ZINB,-29521.196882852106,-28997.983686943666,1046.42639181688,nan,1,7.278432222994572e-230,True,chi-bar² heuristic; k=1
D3,Dataset 3,91,Z+P+NB,ZIP--ZINB,-29017.36213411262,-28997.983686943666,38.75689433790831,2,0,3.837490617626915e-09,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,94,Poisson,ZIP--ZINB,-72359.32746265698,-28890.54283339998,86937.56925851399,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,94,NB,ZIP--ZINB,-32912.498598637925,-28890.54283339998,8043.911530475889,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,94,P+NB,ZIP--ZINB,-32244.39251833529,-28890.54283339998,6707.699369870621,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,94,ZIP,ZIP--ZINB,-42444.10006348103,-28890.54283339998,27107.114460162105,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,94,ZINB,ZIP--ZINB,-29424.01935883696,-28890.54283339998,1066.9530508739554,nan,1,2.51489638380861e-234,True,chi-bar² heuristic; k=1
D3,Dataset 3,94,Z+P+NB,ZIP--ZINB,-28906.870605157335,-28890.54283339998,32.65554351470928,2,0,8.108468315452989e-08,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,90,Poisson,ZIP--ZINB,-73958.90768513079,-29107.42789127181,89702.95958771795,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,90,NB,ZIP--ZINB,-33017.29734459115,-29107.42789127181,7819.738906638675,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,90,P+NB,ZIP--ZINB,-32311.53689662138,-29107.42789127181,6408.218010699136,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,90,ZIP,ZIP--ZINB,-42894.93004092172,-29107.42789127181,27575.004299299813,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,90,ZINB,ZIP--ZINB,-29670.311072809476,-29107.42789127181,1125.7663630753304,nan,1,4.147069464801399e-247,True,chi-bar² heuristic; k=1
D3,Dataset 3,90,Z+P+NB,ZIP--ZINB,-29120.01446460801,-29107.42789127181,25.173146672401344,2,0,3.417595459447725e-06,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,95,Poisson,ZIP--ZINB,-74299.76200797572,-29531.321971866946,89536.88007221755,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,95,NB,ZIP--ZINB,-33547.90665927466,-29531.321971866946,8033.1693748154285,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,95,P+NB,ZIP--ZINB,-32902.097999630336,-29531.321971866946,6741.552055526779,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,95,ZIP,ZIP--ZINB,-43767.29431244243,-29531.321971866946,28471.944681150962,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,95,ZINB,ZIP--ZINB,-30072.186236879967,-29531.321971866946,1081.728530026041,nan,1,1.545555523868557e-237,True,chi-bar² heuristic; k=1
D3,Dataset 3,95,Z+P+NB,ZIP--ZINB,-29552.791625557125,-29531.321971866946,42.939307380358514,2,0,4.740758953971157e-10,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,93,Poisson,ZIP--ZINB,-74267.44934656014,-29100.70742023139,90333.4838526575,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,93,NB,ZIP--ZINB,-33128.18428880267,-29100.70742023139,8054.953737142569,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,93,P+NB,ZIP--ZINB,-32416.852959558597,-29100.70742023139,6632.291078654416,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,93,ZIP,ZIP--ZINB,-42928.93737593699,-29100.70742023139,27656.459911411206,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,93,ZINB,ZIP--ZINB,-29666.307255895317,-29100.70742023139,1131.1996713278568,nan,1,2.7344485571819823e-248,True,chi-bar² heuristic; k=1
D3,Dataset 3,93,Z+P+NB,ZIP--ZINB,-29120.7189261475,-29100.70742023139,40.02301183222153,2,0,2.037574074053351e-09,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,98,Poisson,ZIP--ZINB,-73098.74842592956,-29425.417987833876,87346.66087619137,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,98,NB,ZIP--ZINB,-33395.33269828587,-29425.417987833876,7939.829420903989,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,98,P+NB,ZIP--ZINB,-32736.999779171107,-29425.417987833876,6623.1635826744605,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,98,ZIP,ZIP--ZINB,-42939.56082398089,-29425.417987833876,27028.285672294034,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,98,ZINB,ZIP--ZINB,-29934.445382430175,-29425.417987833876,1018.0547891925962,nan,1,1.0685880901828681e-223,True,chi-bar² heuristic; k=1
D3,Dataset 3,98,Z+P+NB,ZIP--ZINB,-29439.414209104587,-29425.417987833876,27.992442541421042,2,0,8.346767851282524e-07,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,96,Poisson,ZIP--ZINB,-73526.16210271184,-29222.554705792027,88607.21479383962,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,96,NB,ZIP--ZINB,-33334.85423625327,-29222.554705792027,8224.599060922483,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,96,P+NB,ZIP--ZINB,-32598.395116920834,-29222.554705792027,6751.680822257615,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,96,ZIP,ZIP--ZINB,-42686.78195827571,-29222.554705792027,26928.45450496736,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,96,ZINB,ZIP--ZINB,-29804.208869122853,-29222.554705792027,1163.3083266616522,nan,1,2.8740651506832138e-255,True,chi-bar² heuristic; k=1
D3,Dataset 3,96,Z+P+NB,ZIP--ZINB,-29243.2125405837,-29222.554705792027,41.31566958334588,2,0,1.0676191173910313e-09,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,99,Poisson,ZIP--ZINB,-74760.52886011667,-29552.61223599696,90415.83324823942,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,99,NB,ZIP--ZINB,-33753.4638955964,-29552.61223599696,8401.703319198874,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,99,P+NB,ZIP--ZINB,-32983.36287489857,-29552.61223599696,6861.501277803225,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,99,ZIP,ZIP--ZINB,-43277.21301303562,-29552.61223599696,27449.20155407733,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,99,ZINB,ZIP--ZINB,-30109.854261953624,-29552.61223599696,1114.4840519133286,nan,1,1.1744847101513851e-244,True,chi-bar² heuristic; k=1
D3,Dataset 3,99,Z+P+NB,ZIP--ZINB,-29572.400143023016,-29552.61223599696,39.575814052113856,2,0,2.548127589655917e-09,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
